Fund,Beta_FedFunds,Beta_10Y_Treasury,Beta_UnemploymentRate,Beta_CreditSpread,Beta_CPI,Beta_IndustrialProduction,Fund_Category,Duration_Category,Management_Style,Fund_Type,,
AHITX,0.0039,-0.0004,0.005,0.0063,-0.0007,0.0077,High Yield,Intermediate,Active,Mutual,,
BHYIX,0.004,-0.0007,0.0068,0.0068,-0.0011,0.0086,High Yield,Intermediate,Active,Mutual,,
HYG,0.0034,-0.0022,0.0088,0.006,-0.0016,0.0086,High Yield,Intermediate,Passive,ETF,,0.008213
HYS,0.0039,0.0004,0.0074,0.0056,-0.0009,0.0084,High Yield,Short,Passive,ETF,,
JNK,0.0037,-0.0019,0.0088,0.0065,-0.0014,0.0091,High Yield,Intermediate,Passive,ETF,,
PHIYX,0.0037,-0.0019,0.0055,0.006,-0.0018,0.0075,High Yield,Intermediate,Active,Mutual,,
PHYZX,0.0041,-0.0008,0.0057,0.0067,-0.0016,0.0087,High Yield,Intermediate,Active,Mutual,,
PRHYX,0.0042,-0.0008,0.0069,0.0067,-0.0015,0.0086,High Yield,Intermediate,Active,Mutual,,
SHYG,0.0037,0.0003,0.0068,0.0055,-0.0014,0.0074,High Yield,Short,Passive,ETF,,
SJNK,0.0037,0.0003,0.0086,0.0055,-0.0008,0.0082,High Yield,Short,Passive,ETF,,
SPHIX,0.0038,-0.0008,0.0059,0.0067,-0.0012,0.0083,High Yield,Intermediate,Active,Mutual,,
VWEHX,0.0038,-0.0019,0.0053,0.0058,-0.0015,0.0074,High Yield,Intermediate,Active,Mutual,,
DODIX,0.002,-0.0071,0.0045,0.0013,-0.0004,0.0041,Investment Grade,Intermediate,Active,Mutual,,
FBNDX,0.001,-0.0083,0.0045,0.0006,-0.0003,0.0044,Investment Grade,Intermediate,Active,Mutual,,
FLOT,0.0017,0.0013,0.0031,0.0015,-0.0008,0.0024,Investment Grade,Short,Passive,ETF,,
IGLB,0.0041,-0.0167,0.0154,0.0042,0.0001,0.0149,Investment Grade,Long,Passive,ETF,,
IGSB,0.0016,-0.0025,0.0032,0.0014,-0.001,0.0026,Investment Grade,Short,Passive,ETF,,
LALDX,0.0021,0,0.0033,0.0027,-0.001,0.0041,Investment Grade,Short,Active,Mutual,,
LQD,0.003,-0.0108,0.0091,0.0034,-0.0009,0.009,Investment Grade,Intermediate,Passive,ETF,,
LSIIX,0.0023,-0.0059,0.0061,0.0027,-0.0002,0.0061,Investment Grade,Intermediate,Active,Mutual,,
SPLB,0.0043,-0.0163,0.0149,0.0049,0,0.0154,Investment Grade,Long,Passive,ETF,,
SPSB,0.0011,-0.0013,0.0021,0.0013,-0.0009,0.0016,Investment Grade,Short,Passive,ETF,,
VCLT,0.0039,-0.0165,0.0148,0.0039,0,0.0142,Investment Grade,Long,Passive,ETF,,
VCSH,0.0016,-0.0028,0.0034,0.0014,-0.0011,0.0027,Investment Grade,Short,Passive,ETF,,
BFIAX,-0.001,-0.0067,0.0036,0.0012,-0.0005,0.0045,TIPS,Intermediate,Active,Mutual,,
FIPDX,-0.0004,-0.0066,0.0041,0.0016,-0.0001,0.006,TIPS,Intermediate,Passive,Mutual,,
PRTNX,0.0001,-0.0062,0.0045,0.0021,0.0002,0.0062,TIPS,Intermediate,Active,Mutual,,
SCHP,-0.0004,-0.0064,0.0045,0.0017,-0.0001,0.006,TIPS,Intermediate,Passive,ETF,,
STIP,-0.0002,-0.0014,0.0014,0.0008,0.0002,0.002,TIPS,Short,Passive,ETF,,
SWRSX,-0.0001,-0.0064,0.0039,0.0018,-0.0001,0.0057,TIPS,Intermediate,Passive,Mutual,,
TDTT,-0.0001,-0.0023,0.0021,0.001,-0.0003,0.0028,TIPS,Short,Passive,ETF,,
TIP,-0.0001,-0.0063,0.0045,0.0019,-0.0001,0.0061,TIPS,Intermediate,Passive,ETF,,
TIPX,0.0002,-0.0046,0.0028,0.0008,-0.0003,0.0039,TIPS,Intermediate,Passive,ETF,,
VTIP,0,-0.0014,0.0016,0.0008,0.0001,0.002,TIPS,Short,Passive,ETF,,
AMUSX,-0.0005,-0.0094,0.0012,-0.0017,-0.0002,0.0007,Treasury,Intermediate,Active,Mutual,,
FGOVX,-0.0001,-0.0098,0.002,-0.0017,-0.0004,0.0018,Treasury,Intermediate,Active,Mutual,,
GOVT,-0.0007,-0.0099,0.002,-0.002,-0.0004,0.0022,Treasury,Intermediate,Passive,ETF,,
IEF,0,-0.0133,0.0023,-0.0027,-0.0009,0.0023,Treasury,Intermediate,Passive,ETF,,
PFGAX,-0.0113,-0.0662,0.1096,-0.0632,0.019,0.0834,Treasury,Long,Active,Mutual,,
SHY,-0.0003,-0.0026,0,-0.0009,-0.0007,-0.0002,Treasury,Short,Passive,ETF,,
SPTL,-0.0022,-0.0271,0.0105,-0.0058,0.0006,0.0109,Treasury,Long,Passive,ETF,,
TLT,-0.0024,-0.0282,0.0113,-0.0058,0.0006,0.0117,Treasury,Long,Passive,ETF,,
USFR,0.0001,0.0002,0.0001,0.0003,-0.0003,0.0003,Treasury,Short,Passive,ETF,,
VFISX,-0.0002,-0.0031,0.0003,-0.0009,-0.0008,0.0002,Treasury,Short,Passive,Mutual,,
VGLT,-0.0023,-0.0268,0.0106,-0.0054,0.0006,0.0107,Treasury,Long,Passive,ETF,,
ZROZ,-0.0037,-0.0411,0.02,-0.0079,0.0008,0.0208,Treasury,Long,Passive,ETF,,
